,cpu,screen_size,ram,graphic_ram,hdd,ssd,prices,is_unified,company
106,M1,13.0,8,0.0,0,256,43598000,1,apple
107,Core i7,15.0,16,6.0,0,256,56000000,0,microsoft
108,Core i7,15.6,16,2.0,0,1000,33892000,0,lenovo
109,Core i3,15.6,4,0.0,0,256,13979000,1,lenovo
110,Ryzen 7,15.6,16,4.0,0,1000,51555000,0,asus
111,Ryzen 9,15.6,16,6.0,0,1000,59900000,0,asus
112,M2,16.0,16,0.0,0,1000,123499000,1,apple
113,Core i7,15.6,16,6.0,0,512,51489000,0,acer
114,M2,13.6,8,0.0,0,512,69800000,1,apple
115,Core i7,15.6,16,6.0,0,512,56200000,0,asus
116,Ryzen 5,15.6,8,4.0,0,512,39599000,0,lenovo
117,Core i5,15.6,32,4.0,0,1000,37069000,0,hp
118,Core i3,15.6,4,2.0,0,256,16300000,0,lenovo
119,Core i7,15.6,16,8.0,0,1000,78000000,0,msi
120,Celeron,15.6,4,0.0,0,256,11950000,1,asus
121,Celeron,14.0,4,0.0,0,256,16879000,1,asus
122,Ryzen 7,16.0,16,0.0,0,512,32400000,1,asus
123,Core i7,15.6,16,2.0,0,512,20900000,0,dell
124,Core i7,15.6,16,4.0,0,1000,53979000,0,asus
126,Ryzen 9,13.4,16,4.0,0,1000,69590000,0,asus
127,Core i7,15.6,16,6.0,0,512,58599000,0,msi
128,Ryzen 7,15.6,16,4.0,0,1000,45699900,0,asus
129,Celeron,15.6,4,0.0,1000,512,9830000,1,lenovo
130,Core i7,15.6,16,6.0,0,1000,55300000,0,asus
131,Core i3,15.6,8,0.0,0,512,15100000,1,lenovo
132,Core i7,15.6,16,2.0,0,1000,37198000,0,asus
133,Core i7,15.0,16,2.0,0,512,18900000,0,hp
134,Core i7,16.0,16,6.0,0,1000,73100000,0,asus
135,M2,14.0,16,0.0,0,1000,115699000,1,apple
136,Core i5,15.6,8,4.0,256,256,30799000,0,msi
137,Core i7,15.6,12,2.0,0,512,25290000,0,lenovo
138,Ryzen 5,15.6,8,4.0,0,512,30200000,0,hp
139,Core i7,15.6,16,6.0,0,512,27900000,0,dell
140,Core i7,15.6,16,4.0,0,1000,42900000,0,lenovo
141,Core i7,15.6,8,2.0,1000,0,27054000,0,asus
142,Ryzen 3,15.6,8,2.0,1000,0,19700000,0,lenovo
143,Core i5,13.0,8,0.0,0,512,25900000,1,apple
144,Core i7,14.0,16,0.0,0,1000,51640000,1,hp
145,Core i7,13.4,16,4.0,0,512,69000000,0,asus
146,Core i3,15.6,4,0.0,0,256,17980000,1,asus
147,Core i5,15.6,8,4.0,0,512,39479000,0,asus
148,Core i9,17.3,64,16.0,0,4000,275000000,0,msi
149,M2,14.0,96,0.0,0,1000,223000000,1,apple
150,Ryzen 5,15.6,12,2.0,1000,256,19670000,0,lenovo
