stock_status,cpu,screen_size,ram,graphic_ram,hdd,ssd
new,Ryzen 7,15.6 inch,16 gb,4 gb,,1 tb
new,Ryzen 9,15.6 inch,16 gb,6 gb,,1 tb
new,M2,16 inch,16 gb,unified,,1 tb
new,Core i7,15.6 inch,16 gb,6 gb,,512 gb
new,M2,13.6 inch,8 gb,unified,,512 gb
new,Core i7,15.6 inch,16 gb,6 gb,,512 gb
new,Ryzen 5,15.6 inch,8 gb,4 gb,,512 gb
new,Core i5,15.6 inch,32 gb,4 gb,,1 tb
new,Core i3,15.6 inch,4 gb,2 gb,,256 gb
new,Core i7,15.6 inch,16 gb,8 gb,,1 tb
new,Celeron,15.6 inch,4 gb,unified,,256 gb
new,Celeron,14 inch,4 gb,unified,,256 gb
new,Ryzen 7,16 inch,16 gb,unified,,512 gb
new,Core i7,15.6 inch,16 gb,2 gb,,512 gb
new,Core i7,15.6 inch,16 gb,4 gb,,1 tb
new,Core i9,18 inch,32 gb,16 gb,,
new,Ryzen 9,13.4 inch,16 gb,4 gb,,1 tb
new,Core i7,15.6 inch,16 gb,6 gb,,512 gb
new,Ryzen 7,15.6 inch,16 gb,4 gb,,1 tb
new,Celeron,15.6 inch,4 gb,unified,1 tb,512 gb
new,Core i7,15.6 inch,16 gb,6 gb,,1 tb
new,Core i3,15.6 inch,8 gb,unified,,512 gb
new,Core i7,15.6 inch,16 gb,2 gb,,1 tb
new,Core i7,15 inch,16 gb,2 gb,,512 gb
new,Core i7,16 inch,16 gb,6 gb,,1 tb
new,M2,14 inch,16 gb,unified,,1 tb
new,Core i5,15.6 inch,8 gb,4 gb,256 gb,256 gb
new,Core i7,15.6 inch,12 gb,2 gb,,512 gb
new,Ryzen 5,15.6 inch,8 gb,4 gb,,512 gb
new,Core i7,15.6 inch,16 gb,6 gb,,512 gb
new,Core i7,15.6 inch,16 gb,4 gb,,1 tb
new,Core i7,15.6 inch,8 gb,2 gb,1 tb,
new,Ryzen 3,15.6 inch,8 gb,2 gb,1 tb,
new,Core i5,13 inch,8 gb,unified,,512 gb
new,Core i7,14 inch,16 gb,unified,,1 tb
new,Core i7,13.4 inch,16 gb,4 gb,,512 gb
new,Core i3,15.6 inch,4 gb,unified,,256 gb
new,Core i5,15.6 inch,8 gb,4 gb,,512 gb
new,Core i9,17.3 inch,64 gb,16 gb,,4 tb
new,M2,14 inch,96 gb,unified,,1 tb
new,Ryzen 5,15.6 inch,12 gb,2 gb,1 tb,256 gb
new,Ryzen 7,16 inch,16 gb,4 gb,,1 tb
new,Core i7,15.6 inch,512 gb,,,
new,Core i7,15.6 inch,16 gb,4 gb,,1 tb
new,Core i5,15.6 inch,8 gb,4 gb,,512 gb
new,Core i7,16 inch,32 gb,8 gb,,1 tb
new,Core i7,15.6 inch,16 gb,4 gb,,1 tb
new,Core i7,13.5 inch,16 gb,unified,,256 gb
new,Core i5,13.5 inch,8 gb,unified,,256 gb
new,Core i5,15.6 inch,8 gb,6 gb,,512 gb
new,Core i5,14 inch,8 gb,unified,,512 gb
new,Core i5,17.3 inch,16 gb,4 gb,,512 gb
new,Core i5,13.3 inch,8 gb,unified,,512 gb
new,Core i7,16 inch,16 gb,6 gb,,1 tb
new,Core i7,15.6 inch,16 gb,6 gb,,1 tb
new,Celeron,14 inch,4 gb,unified,,256 gb
new,Ryzen 7,15.6 inch,16 gb,4 gb,1 tb,1 tb
new,Ryzen 5,15.6 inch,8 gb,unified,,512 gb
new,Ryzen 7,15.6 inch,16 gb,4 gb,,1 tb
new,Ryzen 9,17.3 inch,16 gb,8 gb,,1 tb
new,Core i7,15.6 inch,16 gb,4 gb,,512 gb
new,Core i7,13.5 inch,32 gb,unified,,1 tb
new,Core i9,15.6 inch,16 gb,6 gb,,512 gb
new,Ryzen 7,15.6 inch,16 gb,8 gb,,1 tb
new,Core i7,13.3 inch,8 gb,unified,,512 gb
new,Ryzen 5,16 inch,8 gb,2 gb,,512 gb
new,Core i7,15.6 inch,16 gb,4 gb,,512 gb
new,Core i3,15.6 inch,8 gb,unified,,256 gb
new,Core i5,12.4 inch,8 gb,unified,,128 gb
new,Ryzen 7,15.6 inch,16 gb,6 gb,,1 tb
new,Core i5,12.3 inch,8 gb,,256 gb,256 gb
new,Ryzen 7,14 inch,16 gb,unified,,1 tb
new,,,,,,
new,Core i3,15.6 inch,8 gb,unified,1 tb,
new,Core i3,15.6 inch,4 gb,2 gb,,256 gb
new,Athlon,15.6 inch,4 gb,5 gb,250 gb,
new,Core i7,15.6 inch,16 gb,2 gb,,1 tb
new,Core i5,15.6 inch,8 gb,4 gb,,512 gb
new,Ryzen 9,17.3 inch,16 gb,6 gb,,1 tb
new,Core i7,15.6 inch,32 gb,4 gb,,1 tb
new,Core i3,15.6 inch,4 gb,2 gb,,256 gb
new,Ryzen 7,15.6 inch,16 gb,4 gb,,512 gb
new,Core i3,15.6 inch,8 gb,unified,,512 gb
new,Core i3,14 inch,4 gb,unified,,512 gb
new,Core i9,15.6 inch,32 gb,16 gb,,1 tb
new,Core i5,15.6 inch,16 gb,4 gb,,512 gb
new,Ryzen 9,16 inch,64 gb,16 gb,,4 tb
new,Core i3,15.6 inch,4 gb,unified,,256 gb
new,Core i5,17.3 inch,8 gb,4 gb,,512 gb
new,Core i5,15.6 inch,32 gb,4 gb,,1 tb
new,Core i5,12.4 inch,16 gb,unified,,256 gb
new,Ryzen 7,15.6 inch,16 gb,4 gb,,1 tb
new,M2,13.3 inch,8 gb,unified,,512 gb
new,Core i5,15.6 inch,8 gb,4 gb,,512 gb
new,Core i5,15.6 inch,16 gb,4 gb,,1 tb
new,Core i7,15.6 inch,16 gb,8 gb,,512 gb
new,Ryzen 7,15.6 inch,12 gb,2 gb,1 tb,256 gb
new,Core i5,12.3 inch,8 gb,,256 gb,256 gb
new,Core i5,15.6 inch,8 gb,,,1 tb
new,Core i7,15 inch,8 gb,6 gb,0 gb,512 gb
new,Core i5,16.1 inch,16 gb,4 gb,,512 gb
new,Core i9,15.6 inch,16 gb,6 gb,,1 tb
new,M1,14 inch,16 gb,unified,,1 tb
new,Core 2 Duo,14 inch,2 gb,,250 gb,
new,Core i7,15.6 inch,16 gb,6 gb,,512 gb
new,Core i7,13 inch,16 gb,,,512 gb
new,Core i7,15.6 inch,8 gb,2 gb,,512 gb
new,Core i5,15.6 inch,16 gb,4 gb,1 tb,1 tb
new,Core i7,14 inch,256 gb,2 gb,256 gb,256 gb
new,Ryzen 5,15.6 inch,16 gb,4 gb,,512 gb
new,M2,13.6 inch,8 gb,unified,,512 gb
