,prices
535,37000000
536,35879000
537,23450000
538,112750000
539,11500000
540,156100000
541,29000000
542,20999000
543,50800000
544,43800000
545,17800000
546,12800000
547,83400000
548,8900000
549,79500000
550,83150000
551,42600000
552,33900000
553,130000000
554,18190000
555,30690000
556,53969000
557,199556000
558,196990000
559,37896000
560,63440000
561,16290000
562,20279000
563,39500000
564,27392000
565,93000000
566,48000000
567,111000000
568,18810000
569,16600000
570,132700000
571,45879000
572,38962000
573,18100000
574,86500000
575,11600000
576,17990000
577,28000000
578,62979000
579,254795000
580,28089000
581,15900000
582,21400000
583,62400000
584,183660000
585,19000000
586,14000000
587,39700000
588,34500000
589,6600000
590,58490000
591,129100000
592,20979000
593,15700000
594,0
595,62500000
596,14900000
597,18699000
598,31979000
599,22912000
600,59950000
601,114000000
602,156900000
603,17200000
604,25400000
605,139000000
606,31900000
607,36990000
608,47196000
609,54989000
610,16390000
611,41500000
612,11000000
613,16900000
614,19500000
615,17900000
616,17500000
617,27290000
618,14000000
619,37000000
620,105000000
621,0
622,56699000
623,43100000
624,62144000
625,17290000
626,69879000
627,56900000
628,15900000
629,30000000
630,69000000
631,10900000
632,98384000
633,25000000
634,54989000
635,18399000
636,72283000
637,40800000
638,0
639,59500000
640,55300000
641,36100000
642,40400000
643,21000000
644,4500000
645,0
646,34900000
647,138920000
648,100000
649,29790000
650,113897000
651,35100000
652,71391000
653,52700000
654,40000000
655,30740000
656,21690000
657,20000000
658,40200000
659,15900000
660,47489000
661,12490000
662,0
663,66470000
664,23000000
665,34850000
666,58400000
667,45270000
668,39689000
669,20079000
670,0
671,49499000
672,49000000
673,19500000
674,70899000
675,29279000
676,20000000
677,52100000
678,14470000
679,36000000
680,194979000
681,56112000
682,13900000
683,15288820
684,41750000
685,19569000
686,29500000
687,37000000
688,45000000
689,85000000
690,15250000
691,79879000
692,160000000
693,171435000
694,25870000
695,57490000
696,38000000
697,15200000
698,32298000
699,36300000
700,159920000
701,77000000
702,0
703,198710000
704,49900000
705,0
706,229900000
707,13300000
708,92800000
709,26940000
710,60190000
711,30879000
712,46900000
713,15850000
714,58000000
715,56550000
716,100789000
717,45900000
718,83000000
719,0
720,66696000
721,35800000
722,31500000
723,259500000
724,67400000
725,18888000
726,17695000
727,15500000
728,24089000
729,99000000
730,29400000
731,7290000
732,32700000
733,15270000
734,39500000
735,114600000
736,14599000
737,141850000
738,35790000
739,87339000
740,64758000
741,16200000
742,16200000
743,70000000
744,28400000
745,40200000
746,20800000
747,58990000
748,20870000
749,14500000
750,55399000
751,34100000
752,69479000
753,58700000
754,24850000
755,75200000
756,23700000
757,14000000
758,67999000
759,36600000
760,68950000
761,14910000
762,20350000
763,31760000
764,69790000
765,56450000
766,27650000
767,45659000
768,32000000
769,9600000
770,0
771,33299000
772,15940000
773,151894000
774,62700000
775,0
776,91000000
777,54100000
778,28390000
779,29497000
780,14770000
781,88479000
782,29550000
783,17540000
784,0
785,43000000
786,14800000
787,18000000
788,27990000
789,18090000
790,60000000
791,48879000
792,0
793,42479000
794,38779000
795,19800000
796,118635000
797,22499000
798,66900000
799,23290000
800,25400000
801,53890000
802,45700000
803,33679000
804,37500000
805,156910000
806,0
807,12500000
808,20599000
809,35179000
810,8300000
811,21600000
812,15200000
813,54500000
814,27290000
815,65000000
816,89000000
817,14490000
818,41990000
819,83000000
820,17150000
821,33900000
822,53990000
823,199999000
824,43355000
825,42990000
826,40490000
827,85000000
828,24000000
829,0
830,22879000
831,116300000
832,25850000
833,27090000
834,68500000
835,41699000
836,66489000
837,78200000
838,6900000
839,27300000
840,15540000
841,22849000
842,83870000
843,8300000
844,56500000
845,82000000
846,49479000
847,12900000
848,14500000
849,52890000
850,42400000
851,47797000
852,62280000
853,24500000
854,122000000
855,9200000
856,32690000
857,73300000
858,29500000
859,16599000
860,0
861,39000000
862,32200000
863,96012300
864,0
865,28290000
866,17700000
867,23970000
868,35000000
869,34000000
870,31270000
871,23000000
872,17500000
873,53340000
874,61990000
875,34500000
876,6000000
877,27300000
878,53380000
879,26500000
880,59400000
881,29400000
882,31000000
883,0
884,16200000
885,49950000
886,0
887,13000000
888,18970000
889,34900000
890,11700000
891,0
892,0
893,16284000
894,20000000
895,24970000
896,11000000
897,41900000
898,33880000
899,56493000
900,10299000
901,45790000
902,5847660
903,17779000
904,0
905,62400000
906,78500000
907,23899000
908,9500000
909,13200000
910,49000000
911,52580000
912,44880000
913,30499000
914,251370000
915,25450000
916,54000000
917,42500000
918,6000000
919,18000000
920,34900000
921,140500000
922,11000000
923,43800000
924,8700000
925,57293000
926,107000000
927,39000000
928,37900000
929,26850000
930,99000000
931,29000000
932,45979000
933,29900000
934,46200000
935,14199000
936,10900000
937,13889000
938,23650000
939,41479000
940,66500000
941,59900000
942,21899000
943,24779000
944,29990000
945,19500000
946,21000000
947,52300000
948,78700000
949,82979000
950,13600000
951,63350000
952,55279000
953,12600000
954,62667000
955,10000000
956,13900000
957,46500000
958,29496000
959,13500000
960,20100000
961,39188820
962,34800000
963,56000000
964,12600000
965,13490000
966,83490000
967,24600000
968,55500000
969,60185000
970,37500000
971,13990000
972,28200000
973,50000000
974,35770000
975,15500000
976,99500000
977,22890000
978,57399000
979,32179000
980,333979000
981,35969000
982,67300000
983,69900000
984,52200000
985,89500000
986,0
987,42200000
988,18500000
989,30088820
990,39800000
991,47300000
992,60591000
993,22450000
994,0
995,58479000
996,54000000
997,29100000
998,5847660
999,0
1000,31550000
1001,49890000
1002,19200000
1003,0
1004,323979000
1005,27000000
1006,15700000
1007,0
1008,0
1009,23800000
1010,40590000
1011,33000000
1012,23700000
1013,72500000
1014,95479000
1015,37779000
1016,22499000
1017,16100000
1018,80000000
1019,38479000
1020,51395000
1021,62500000
1022,61782000
1023,71189000
1024,10000000
1025,18700000
1026,18500000
1027,24190000
1028,37000000
1029,17900000
1030,310000000
1031,26200000
1032,0
1033,19800000
1034,34690000
1035,36900000
1036,13950000
1037,65500000
1038,27500000
1039,9840000
1040,17100000
1041,105612300
1042,29240000
1043,11800000
1044,0
1045,45000000
1046,133820000
1047,11900000
1048,14500000
1049,51670000
1050,28697000
1051,91500000
1052,22200000
1053,43492000
1054,54000000
1055,57000000
1056,34500000
1057,99888000
1058,45500000
1059,15500000
1060,12550000
1061,0
1062,27900000
1063,18000000
1064,0
1065,5900000
1066,8189000
1067,21700000
1068,43699000
1069,89789000
1070,24000000
1071,93800000
1072,208250000
1073,49000000
1074,46770000
1075,31979000
1076,58400000
1077,77479000
1078,85400000
1079,50000000
1080,38200000
1081,39470000
1082,5000000
1083,19400000
1084,18200000
1085,17600000
1086,14490000
1087,36088820
1088,57800000
1089,34000000
1090,17100000
1091,4500000
1092,69300000
1093,64500000
1094,67500000
1095,7000000
1096,34250000
1097,41000000
1098,20979000
1099,161226000
1100,229150000
1101,66000000
1102,16190000
1103,45669000
1104,113979000
1105,37666900
1106,40467000
1107,0
1108,114749000
1109,28910000
1110,28900000
1111,28400000
1112,49799000
1113,19670000
1114,21479000
1115,54912300
1116,35900000
1117,38700000
1118,15840000
1119,0
1120,79500000
1121,12900000
1122,47100000
1123,6500000
1124,26421525
1125,0
1126,34800000
1127,12700000
1128,56000000
1129,8500000
1130,8000000
1131,25500000
1132,26033000
1133,36500000
1134,24800000
1135,15099000
1136,18500000
1137,55479000
1138,17900000
1139,0
1140,24300000
1141,20000000
1142,31500000
1143,59610000
1144,82612300
1145,22790000
1146,263979000
1147,146399000
1148,0
1149,7200000
1150,32000000
1151,0
1152,37000000
1153,50990000
1154,37000000
1155,32660000
1156,128979000
1157,41970000
1158,52520000
1159,143960000
1160,142600000
1161,65600000
1162,0
1163,25300000
1164,187900000
1165,42492000
1166,13000000
1167,13800000
1168,184000000
1169,0
1170,38000000
1171,0
1172,38500000
1173,11300000
1174,31900000
1175,46700000
