,name1
0,لپ تاپ لنوو  Ideapad 3  | 4GB RAM | 1TB HDD | N4020 hd ا LENOVO IDEAPAD 3
1,لپ تاپ ایسوس FX517ZR | 16GB RAM | 512GB SSD | i7 | 8GB VGA ا ASUS TUF Dash F15 FX517ZR
2,مک بوک ایر 8GB RAM | 256GB SSD | M1 | MGN63 ا Macbook Air MGN63
3,لپ تاپ لنوو IdeaPad Gaming 3 | 16GB RAM | 512GB SSD | i5 | 4GB VGA ا Lenovo IdeaPad Gaming 3
4,لپ تاپ لنوو Ideapad 3 | 12GB RAM | 256GB SSD | 1TB HDD | i3 ا Lenovo Ideapad 3
5,لپ تاپ ایسوس FX506LH | 8GB RAM | 512GB SSD | i5 | 4GB VGA ا Laptop Asus FX506LH
6,لپ تاپ اچ‌ پی Victus 15 | 8GB RAM | 512GB SSD | i5 12500H | VGA 3050 4GB ا HP Victus15
7,لپ تاپ ایسوس  FX506HC | 8GB RAM | 512GB SSD | i5 | 4GB VGA ا ASUS TUF Gaming FX506HC
8,لپ تاپ لنوو  IdeaPad 3 | 8GB RAM | 1TB HDD | I5 1135G7 | VGA Mx350 2GB ا Lenovo ideapad 3
9,لپ تاپ لنوو IdeaPad 3 | 4GB RAM | 1TB HDD | 128GB SSD | N4020 ا Lenovo IdeaPad 3 Laptop
10,لپ تاپ مایکروسافت Surface Go | 8GB RAM | 256GB SSD | i5 ا Laptop Microsoft Surface Go
11,مک بوک پرو ۱۴ اینچ M2 پرو ۲۰۲۳ مدل MPHE3LL- 512GB ا Apple Macbook Pro 2023 M2 pro-MPHE3LL
12,لپ تاپ لنوو  IdeaPad Gaming 3  | 16GB RAM | 512GB SSD | i7 | 4GB VGA ا Lenovo IdeaPad Gaming 3
13,لپ تاپ ایسوس مدل X515EP | 8GB RAM | 512GB SSD | I5 |2GB VGA ا Asus Laptop X515EP
14,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Midnight MLY33 پردازنده M2 رم 8GB حافظه 256GB SSD ا Apple MacBook Air 2022 Midnight MLY33 M2 8GB 256GB SSD 13.6 inch Laptop
15,"لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEH3 پردازنده M2 رم 8GB حافظه 256GB SSD ا Apple MacBook Pro 2022 13.3"" MNEH3 M2 8GB 256GB SSD Laptop"
16,لپ تاپ ایسوس 16GB RAM | 1TB SSD | i7 | 6GB  F15 FX507ZM ا Laptop Asus TUF Gaming F15 FX507ZM
17,"لپ تاپ ایسوس مدل ASUS ROG Strix G16 (2023) ا ASUS ROG Strix G16 (2023),Intel Core i7-13650HX,16GB DDR5,512GB PCIe SSD, GeForce RTX 4060 8GB,16” 16:10 FHD 165Hz,Wi-Fi 6E, Windows 11, G614JV-AS73, Eclipse Gray"
18,Laptop HP Victus 15لپ تاپ اچ پی Victus 15 | 16GB RAM | 512GB SSD | i5 12500H | VGA 3050 4GB ا Hp Victus 15
19,لپ تاپ لنوو Legion 5 | 16GB RAM | 1TB SSD | i7 | 6GB VGA ا Laptop  Lenovo Legion 5
20,لپ تاپ لنوو  8G RAM | 512GB SSD | 2GB VGA | i5 | IdeaPad 5 ا Lenovo IdeaPad 5
21,لپ تاپ ایسوس X543MA | 4GB | 1TB HDD | N4000 ا Asus X543MA
22,لپ تاپ ایسوس TUF Gaming F15 FX506HE | 16GB RAM | 512GB SSD | i5 | 4GB VGA ا Asus TUF Gaming F15 FX506HE
